best_rank,brand,name,concentration,gender,listings,flanker_of,note,slug
501,Lalique,Lalique Encre Noire A L'Extreme,edp,m,2,,,lalique-encre-noire-a-l-extreme-perfume-for-men-eau-de-perfum
503,Parfums de Marly,Parfums de Marly Castley EDP,edp,m,1,,,parfums-de-marly-castley-edp
505,Clinique,Clinique Aromatics Elixir EDP,edp,f,1,,,clinique-aromatics-elixir-perfume-eau-de-perfum-for-women
506,Givenchy,Givenchy Hot Couture EDP,edp,f,2,,,givenchy-hot-couture-edp
508,Coach,Coach Floral,edp,f,1,,,coach-floral-eau-de-parfum-for-women
511,Givenchy,Givenchy L'Interdit Absolu EDP Intense,edp,f,1,Givenchy L'Interdit Eau de Parfum,,givenchy-linterdit-absolu-edp-intense
513,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi Dose Rose Tobacco EDP,edp,f,1,,,ibraheem-al-qurashi-dose-rose-tobacco-eau-de-parfum-for-women
517,Valentino,Valentino Valentino Donna,edp,f,5,,,valentino-valentino-donna-perfume-for-women-eau-de-parfum
518,Burberry,Burberry Classic,edp,f,2,,,burberry-classic
520,Vilhelm Parfumerie,Vilhelm Parfumerie Morning Chess EDP,edp,u,1,,,vilhelm-parfumerie-morning-chess-edp
521,Emanuel Ungaro,Emanuel Ungaro Diva,edp,f,1,,,emanuel-ungaro-diva-perfume-eau-de-perfum-for-women
522,Boucheron,Boucheron Place Vendome,edp,f,2,,,boucheron-place-vendome-perfume-eau-de-perfum-for-women
523,Burberry,Burberry Her Petals Limited Edition EDP,edp,f,2,Burberry Her,,burberry-her-petals-limited-edition-edp
524,Tom Ford,Tom Ford Ombre Leather Parfum,parfum,u,3,Tom Ford Ombré Leather,,tom-ford-ombre-leather-parfum-for-men-and-women
525,Mont Blanc,Mont Blanc Explorer Platinum EDP,edp,m,1,Montblanc Explorer,,mont-blanc-explorer-platinum-edp
526,Lancome,Lancôme Miracle,edp,f,2,,,lancome-miracle
527,Aigner,Aigner Debut,edp,f,2,,,aigner-debut
530,Van Cleef & Arpels,Van Cleef & Arpels Precious Oud Collection Extraordinaire,edp,f,1,,,van-cleef-arpels-precious-oud-collection-extraordinaire-perfume-eau-de-perfum-for-men-and-women
531,Elie Saab,Elie Saab Le Parfum Bridal EDP,edp,f,1,Elie Saab Le Parfum,,elie-saab-le-parfum-bridal-edp
532,Guerlain,Guerlain L'Homme Idéal Extrême EDP,edp,m,1,Guerlain L'Homme Idéal; Guerlain L'Homme Idéal Eau de Parfum,,guerlain-l-homme-ideal-extreme-eau-de-parfum-for-men
534,Jennifer Lopez,Jennifer Lopez Still,edp,f,1,,,jennifer-lopez-still-perfume-for-women-eau-de-parfum
535,Dolce&Gabbana,Dolce&Gabbana The One For Men EDP Intense,edp,m,2,Dolce&Gabbana The One for Men,,dolce-gabbana-the-one-intense-eau-de-parfum-for-men
536,Guerlain,Guerlain Oud Essentiel,edp,f,2,,,guerlain-oud-essentiel-perfume-eau-de-perfum-for-women
537,Versace,Versace Dylan Blue Pour Femme,edp,f,3,,,versace-dylan-blue-pour-femme-perfume-eau-de-parfum-for-women
538,Cartier,Cartier La Panthere Parfum,parfum,f,2,Cartier La Panthère,,cartier-la-panthere-parfum-for-women
540,Memo Paris,Memo Paris Fleurs Bohemes Marfa EDP,edp,u,2,,,memo-fleurs-bohemes-marfa-eau-de-parfum-for-men-and-women
542,Mont Blanc,Mont Blanc Individuel,edt,m,1,,,mont-blanc-individuel-perfume-eau-de-toilette-for-men
544,Marbert,Marbert Man Pure,edt,m,1,,,marbert-man-pure-eau-de-toilette-for-men
546,Calvin Klein,Calvin Klein Ck One,edt,u,1,,,calvin-klein-ck-one
547,Yves Saint Laurent,Yves Saint Laurent Elle,edp,f,1,,,yves-saint-laurent-elle
548,Guerlain,Guerlain Absolus Allegoria Oud Essentiel EDP,edp,u,1,,,guerlain-absolus-allegoria-oud-essentiel-edp
549,Jaguar,Jaguar Classic Gold,edt,m,1,,,jaguar-classic-gold-perfume-eau-de-toilette-for-men
550,Dolce&Gabbana,Dolce & Gabbana The One Mysterious Night,edp,m,1,Dolce&Gabbana The One for Men,,dolce-gabbana-the-one-mysterious-night-eau-de-parfum-for-men
551,Gucci,Gucci Flora Gorgeous Magnolia EDP,edp,f,2,,,gucci-flora-gorgeous-magnolia-edp
562,Givenchy,Givenchy Gentleman Society Ambree EDP,edp,m,1,Givenchy Gentleman Eau de Parfum,,givenchy-gentleman-society-ambree-edp-100ml
574,Roberto Cavalli,Roberto Cavalli Just Cavalli Wild Heart For Her EDP,edp,f,1,Roberto Cavalli Roberto Cavalli Eau de Parfum,,roberto-cavalli-just-cavalli-wild-heart-for-her-edp
575,La Rochelle,La Rochelle Oud Larochelle EDP,edp,u,1,,,la-rochelle-oud-larochelle-edp
584,Guerlain,Guerlain Rose Amira EDP,edp,u,1,,,guerlain-rose-amira-edp
588,Burberry,Burberry Gold EDP,edp,f,1,,,burberry-gold-edp
589,Chanel,Chanel Allure Homme Sport Superleggera EDP,edp,m,1,Chanel Allure Homme Sport,,chanel-allure-homme-sport-superleggera-edp
593,Parfums de Marly,Parfums de Marly Palatine EDP,edp,f,1,,,parfums-de-marly-palatine-edp
596,Yves Saint Laurent,Yves Saint Laurent Myslf Le Parfum,parfum,m,1,Yves Saint Laurent Myslf,,yves-saint-laurent-myslf-le-parfum
597,Hugo Boss,Hugo Boss The Scent Elixir Parfum Intense,parfum,m,1,Hugo Boss Boss The Scent,,hugo-boss-the-scent-elixir-parfum-intenseparfum-intense-for-men
598,Hugo Boss,Hugo Boss The Scent Elixir Parfum Intense,parfum,f,1,Hugo Boss Boss The Scent For Her,,hugo-boss-the-scent-elixir-parfum-intenseparfum-intense-for-women
602,Yves Saint Laurent,Yves Saint Laurent Black Opium Over Red EDP,edp,f,1,Yves Saint Laurent Black Opium,,yves-saint-laurent-black-opium-over-red-edp
604,Reef Perfumes,Reef Perfumes Pesca EDP,edp,u,1,,,reef-perfumes-pesca-edp
612,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi Brazilian Tobacco Extrait de Parfum,extrait,u,1,,,ibraheem-alqurashi-brazilian-tobacco-2-extrait-de-parfum-for-unisex
613,Giorgio Armani,Giorgio Armani Stronger With You Tobacco EDP,edp,m,1,,,giorgio-armani-stronger-with-you-tobacco-edp
619,Jean Paul Gaultier,Jean Paul Gaultier Le Beau EDP,edp,m,1,,,jean-paul-gaultier-le-beau-edp
620,Creed,Creed Wind Flowers EDP,edp,f,1,,,creed-wind-flowers-edp
621,Creed,Creed Absolu Aventus EDP,edp,m,2,Creed Aventus,,creed-absolu-aventus-edp
627,Dior,Dior Oud Rosewood EDP,edp,u,1,,,dior-oud-rosewood-edp
630,Dolce&Gabbana,Dolce & Gabbana Devotion EDP,edp,f,1,,,dolce-gabbana-devotion-eau-de-parfum-for-women
631,Dior,Dior J'adore l'Or Essence de Parfum,parfum,f,1,Dior J'adore,,dior-jadore-lor-essence-de-parfum
652,Gucci,Gucci Bloom Intense EDP,edp,f,2,Gucci Bloom,,gucci-bloom-intense-edp
655,Yves Saint Laurent,Yves Saint Laurent L'Homme EDP,edp,m,1,,,yves-saint-laurent-lhomme-edp
661,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi Spanish Tobacco Extrait de Parfum,extrait,u,1,,,ibraheem-al-qurashi-spanish-tobacco-extrait-de-parfum
665,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi Mexican Tobacco Extrait de Parfum,extrait,u,1,,,ibraheem-al-qurashi-mexican-tobacco-extrait-de-parfum
669,Dior,Dior Sauvage Parfum,parfum,m,4,,,dior-sauvage-parfum-200ml
670,Yves Saint Laurent,Yves Saint Laurent Baby Cat EDP,edp,u,1,,,yves-saint-laurent-baby-cat-edp
671,Yves Saint Laurent,Yves Saint Laurent Supreme Bouquet,edp,f,2,,,yves-saint-laurent-supreme-bouquet-125ml
680,Giorgio Armani,Giorgio Armani Armani Code Parfum,parfum,m,1,Giorgio Armani Armani Code,,giorgio-armani-armani-code-parfum
681,Gucci,Gucci Flora Gorgeous Jasmine EDP,edp,f,2,,,gucci-flora-gorgeous-jasmine-edp
684,Very Important Notes,"Very Important Notes No 5 Parfum - Saffron, Cashmere Wood, Guaiac Wood, Leather",parfum,u,1,,,very-important-notes-no-5-parfum-saffron-cashmere-wood-guaiac-wood-leather
685,Yves Saint Laurent,Yves Saint Laurent Libre Le Parfum,parfum,f,3,,,yves-saint-laurent-libre-le-parfum
686,Coach,Coach Dreams,edp,f,3,,,coach-dreams-40ml
689,Reef Perfumes,Reef Perfumes Reef 33,edp,u,1,,,reef-perfumes-reef-33
690,Van Cleef & Arpels,Van Cleef & Arpels Patchouli Blanc EDP,edp,u,1,,,van-cleef-arpels-patchouli-blanc-edp
691,Dior,Dior Sakura EDP,edp,u,1,,,dior-sakura-eau-de-parfum-for-men-women
692,Gucci,Gucci Guilty Pour Femme EDP Intense,edp,f,1,Gucci Guilty,,gucci-guilty-pour-femme-edp-intense
697,Jean Paul Gaultier,Jean Paul Gaultier Scandal Le Parfum EDP Intense,edp,f,3,Jean Paul Gaultier Scandal,,jean-paul-gaultier-scandal-le-parfum-edp-intense
701,Narciso Rodriguez,Narciso Rodriguez Cristal EDP,edp,f,2,Narciso Rodriguez For Her Eau de Parfum,,narciso-rodriguez-cristal-edp
705,Lancome,Lancome Idole Aura EDP,edp,f,2,Lancôme Idôle,,lancome-idole-aura-eau-de-parfum-for-women
711,Narciso Rodriguez,Narciso Rodriguez Musc Noir Rose EDP,edp,f,2,Narciso Rodriguez For Her Eau de Parfum,,narciso-rodriguez-musc-noir-rose-eau-de-parfum-for-women
720,Versace,Versace Eros Parfum,parfum,m,1,,,versace-eros-parfum-for-men
723,Giorgio Armani,Giorgio Armani My Way Intense EDP,edp,f,2,Giorgio Armani My Way,,giorgio-armani-my-way-intense-eau-de-parfum-for-women
730,Kilian,Kilian Woman In Gold Refillable EDP,edp,f,1,,,kilian-woman-in-gold-refillable-eau-de-parfum-for-women
731,Guerlain,Guerlain Mon Guerlain Sparkling Bouquet EDP,edp,f,2,,,guerlain-mon-guerlain-sparkling-bouquet-eau-de-parfum-for-women
740,Mont Blanc,Mont Blanc Explorer Ultra Blue EDP,edp,m,2,Montblanc Explorer,,montblanc-explorer-ultra-blue-eau-de-parfum-for-men
745,Gucci,Gucci The Voice Of The Snake EDP,edp,u,1,,,gucci-the-voice-of-the-snake-eau-de-parfum-for-men-women
750,Yves Saint Laurent,Yves Saint Laurent Tuxedo Epices Patchouli EDP,edp,u,2,,,yves-saint-laurent-tuxedo-epices-patchouli-eau-de-parfum-for-men-and-women
751,Chanel,Chanel Le Lion de Chanel EDP,edp,u,1,,,chanel-le-lion-de-chanel-eau-de-parfum-for-men-and-women
752,Chanel,Chanel Coco Mademoiselle L’eau Privée EDP,edp,f,1,Chanel Coco Mademoiselle Eau de Parfum,,chanel-coco-mademoiselle-l-eau-privee-eau-de-parfum-for-women
755,Jean Paul Gaultier,Jean Paul Gaultier La Belle Le Parfum EDP,edp,f,2,,,jean-paul-gaultier-la-belle-eau-de-parfum-for-women
758,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi Powder Musk Spray,,u,1,,,ibraheem-al-qurashi-musk-powder-musk-spray-for-men-and-women
759,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi Abaq Alroman Musk Spray,,u,1,,,ibraheem-al-qurashi-musk-abaq-alroman-musk-spray-for-men-and-women
760,Boucheron,Boucheron Serpent Boheme EDP,edp,f,1,,,boucheron-serpent-boheme-eau-de-parfum-for-women
761,Parfums de Marly,Parfums de Marly Layton Exclusif EDP,edp,u,2,Parfums de Marly Layton,,marly-layton-exclusif-eau-de-parfum-for-men-and-women
764,Versace,Versace Eros EDP,edp,m,2,,,versace-eros-pour-homme-eau-de-parfum-for-men
767,Lancome,Lancome Idole Intense,edp,f,2,Lancôme Idôle,,lancome-idole-intense-eau-de-parfum-for-women
770,Mont Blanc,Mont Blanc Legend EDP,edp,m,2,,,mont-blanc-legend-eau-de-parfum-for-men
772,Giorgio Armani,Giorgio Armani Stronger With You Leather,edp,m,2,,,giorgio-armani-stronger-with-you-leather-eau-de-parfum-for-men
774,Lancome,Lancome Idole Le Grand,edp,f,1,Lancôme Idôle,,lancome-idole-le-grand-spray-eau-de-parfum-for-women
775,Guerlain,Guerlain L'homme Ideal L'intense,edp,m,1,Guerlain L'Homme Idéal; Guerlain L'Homme Idéal Eau de Parfum,,guerlain-l-homme-ideal-l-intense-eau-de-parfum-for-men
777,Chanel,Chanel Coco Mademoiselle L'eau Privee Eau Pour La Nuit,edp,f,1,Chanel Coco Mademoiselle Eau de Parfum,,chanel-coco-mademoiselle-l-eau-privee-eau-pour-la-nuit-eau-de-parfum-for-women
785,Orto Parisi,Orto Parisi Terroni,edp,u,2,,,orto-parisi-terroni-eau-de-parfum-women-and-men
791,Dkhoun,Dkhoun Prime Max,edp,u,1,,,dkhoun-prime-max-eau-de-parfum-for-men-women
797,Dior,Dior Miss Dior Rose N' Roses,edt,f,3,Dior Miss Dior (2021),,dior-miss-dior-rose-n-roses-eau-de-toilette-for-women
800,Dior,Dior Joy Intense,edp,f,2,,,dior-joy-intense-eau-de-parfum-for-women
802,Dior,Dior Dior Homme Sport,edt,m,2,Dior Dior Homme (2020),,dior-dior-homme-sport-eau-de-toilette-for-men
804,Dior,Dior Addict Eau Fraiche EDT,edt,f,2,,,dior-addict-eau-fraiche-eau-de-toilette-for-women
806,Chanel,Chanel Gabrielle Essence,edp,f,1,,,chanel-gabrielle-essence-eau-de-parfum-for-women
807,Chanel,Chanel Chance Eau Tendre EDP,edp,f,1,,,chanel-chance-eau-tendre-eau-de-parfum-for-women
809,Bvlgari,Bvlgari Goldea The Roman Night Absolute,edp,f,2,,,bvlgari-goldea-the-roman-night-absolute-eau-de-parfum-for-women
811,Lancome,Lancôme Peut Être Maison,edp,f,2,,,lancome-peut-tre-maison-eau-de-parfum-for-women
813,Givenchy,Givenchy Gentleman Boisee,edp,m,2,Givenchy Gentleman Eau de Parfum,,boisee-givenchy-gentleman-eau-de-parfum-for-men
814,Givenchy,Givenchy Irresistible Givenchy,edp,f,2,,,givenchy-irresistible-givenchy-eau-de-parfum-for-women
816,Rochas,Rochas Byzance,edp,f,2,,,rochas-byzance-eau-de-parfum-for-women
818,Narciso Rodriguez,Narciso Rodriguez Narciso Ambree,edp,f,2,Narciso Rodriguez For Her Eau de Parfum,,narciso-rodriguez-narciso-ambree-eau-de-parfum-for-women
822,Reef Perfumes,Reef Perfumes Reef 19,edp,u,1,,,reef-perfumes-reef-19-eau-de-parfum-for-men-and-women
823,Penhaligon's,Penhaligon's Halfeti Leather,edp,f,1,,,penhaligon-s-halfeti-leather-eau-de-parfum-for-women
824,Van Cleef & Arpels,Van Cleef & Arpels Reve de Cashmere,edp,u,1,,,van-cleef-arpels-reve-de-cashmere-eau-de-parfum-for-men-women
825,Very Important Notes,"Very Important Notes No 4 Parfum - Tobacco, Oud Wood, Coffee Accord, Vetiver",parfum,u,1,,,very-important-notes-no-4
829,Van Cleef & Arpels,Van Cleef & Arpels Collection Extraordinaire Bois d'Amande,edp,u,2,,,van-cleef-arpels-bois-d-amande-eau-de-parfum-for-men-women
840,Elie Saab,Elie Saab Le Parfum Royal,edp,u,2,Elie Saab Le Parfum,,elie-saab-le-parfum-royal-eau-de-parfum-for-women
843,Anfasic Dokhoon,Anfasic Dokhoon Shay Oud,edp,u,1,,,anfasic-dokhoon-shay-oud-75-ml
845,Dior,Dior Homme Intense EDP (2025 Version),edp,m,3,Dior Dior Homme Intense,Dior's 2025 relaunch of Dior Homme Intense (catalogue: diorhommeintense),dior-homme-intense-eau-de-parfum-for-men-2025-version-150-ml
846,Penhaligon's,Penhaligon's Portrait Blazing Mister Sam,edp,m,1,,,penhaligon-s-portrait-blazing-mister-sam-eau-de-parfum-for-men
847,Penhaligon's,Penhaligon's The Tragedy of Lord George,edp,m,1,,,penhaligon-s-the-tragedy-of-lord-george-eau-de-parfum-for-men
848,Penhaligon's,Penhaligon's Halfeti EDP,edp,f,1,,,penhaligon-s-halfet-eau-de-parfum-for-women
850,Jean Paul Gaultier,Jean Paul Gaultier Scandal By Night,edp,f,1,Jean Paul Gaultier Scandal,,jean-paul-gautier-scandal-by-night-eau-de-parfum-for-women
851,Amouage,Amouage Honour EDP,edp,f,2,,,amouage-honour-edp
853,Dior,Dior Homme EDT - New Version,edt,m,3,Dior Dior Homme (2020),"may be Dior Homme 2020 (diorhomme2020), sold as the 'new version'",dior-homme-eau-de-toilette-for-men
859,Van Cleef & Arpels,Van Cleef & Arpels Ambre Imperial,edp,u,1,,,van-cleef-arpels-ambre-impe-rial-eau-de-perfum-for-men-and-women
860,Coach,Coach Platinum,edp,m,2,,,coach-platinum-perfume-eau-de-perfum-for-men
862,Narciso Rodriguez,Narciso Rodriguez Pure Musc For Her,edp,f,2,Narciso Rodriguez For Her Eau de Parfum,,narciso-rodriguez-pure-musc-for-her-100-ml
867,Dior,Dior Joy,edp,f,1,,,dior-joy-perfume-eau-de-perfume-for-women
870,Parfums de Marly,Marly Layton Exclusif Edition Royal,,m,1,Parfums de Marly Layton,,marly-layton-exclusif-edition-royal-75ml
875,Chanel,Chanel Chance Eau Vive,edp,f,1,,,chanel-chance-eau-vive-perfume-eau-de-parfum-for-women
877,Prada,Prada Luna Rossa Black,edp,m,1,,,prada-luna-rossa-black-eau-de-perfum-for-men
881,Mont Blanc,Mont Blanc Legend Night,edp,m,2,,,mont-blanc-legend-night-100-ml
886,Bvlgari,Bvlgari Splendida Magnolia Sensuel,edp,f,2,,,bvlgari-splendida-magnolia-sensuel-100-ml
888,Bvlgari,Bvlgari Splendida Jasmin Noir,edp,f,2,,,bvlgari-splendida-jasmin-noir-100-ml
892,Dolce&Gabbana,Dolce & Gabbana Dolce Garden,edp,f,2,,,dolce-gabbana-dolce-garden-100-ml
894,Boucheron,Boucheron Iris De Syracuse,edp,u,1,,,boucheron-iris-de-syracuse-perfume-eau-de-perfum-for-men-and-women
897,Giorgio Armani,Giorgio Armani Armani Prive Rouge Malachite,edp,u,1,,,giorgio-armani-armani-prive-rouge-malachite-perfume-eau-de-perfum-for-men-and-women
899,Amouage,Amouage Interlude EDP,edp,m,2,,,amouage-interlude-edp-100ml
903,Yves Saint Laurent,Yves Saint Laurent Yvresse,edt,f,1,,,yves-saint-laurent-yvresse-perfume-eau-de-toilette-for-women
907,Burberry,Burberry My Burberry Black,edp,f,3,Burberry My Burberry,,burberry-my-burberry-black-50-ml
909,Dior,Dior Miss Dior Absolutely Blooming,edp,f,1,Dior Miss Dior (2021),,dior-miss-dior-absolutely-blooming-perfume-eau-de-perfum-for-women
914,Elizabeth Arden,Elizabeth Arden Arden Beauty,edp,f,2,,,elizabeth-arden-arden-beauty-100-ml
919,Elie Saab,Elie Saab Girl Of Now,edp,f,3,,,elie-saab-girl-of-now-50ml
938,Chopard,Chopard Musk Malaki,edp,u,1,,,chopard-musk-malaki-perfume-for-men-and-women-eau-de-parfum
939,Narciso Rodriguez,Narciso Rodriguez Narciso Poudree,edp,f,2,Narciso Rodriguez For Her Eau de Parfum,,narciso-rodriguez-narciso-poudree-perfume-for-women-eau-de-parfum-90ml
953,Lorenzo Villoresi Firenze,Lorenzo Villoresi Teint De Neige,edp,u,2,,,lorenzo-villoresi-teint-de-neige-for-women-and-men-eau-de-parfum-100-ml
959,Giorgio Armani,Giorgio Armani Eau De Cèdre,edt,m,1,,,giorgio-armani-eau-de-cedre-perfume-for-men-eau-de-toilette
964,Dior,Dior Forever And Ever,edt,f,2,,,dior-forever-and-ever-perfume-for-women-eau-de-toilette-100-ml
966,Chanel,Chanel Allure Sensuelle EDP,edp,f,2,,,chanel-allure-sensuelle-100-ml
967,Dunhill,Dunhill Icon,edp,m,2,,,dunhill-icon-perfume-for-men-eau-de-parfum-100-ml
975,Dunhill,Dunhill Desire,edt,m,2,,,dunhill-desire-for-men-100-ml
977,Dior,Dior Addict EDT,edt,f,1,,,dior-addict-eau-de-toilette-for-women
985,Yves Saint Laurent,Yves Saint Laurent Cinema,edp,f,2,,,yves-saint-laurent-cinema-90-ml
987,Cacharel,Cacharel Eden,edp,f,2,,,cacharel-eden-50-ml
989,Givenchy,Givenchy Pi,edt,m,1,,,givenchy-pi
999,Chopard,Chopard Happy Spirit,edp,f,1,,,chopard-happy-spirit
1000,Burberry,Burberry London,edp,f,2,,,burberry-london-for-women-100-ml
1006,Aigner,Aigner Starlight,edp,f,2,,,aigner-starlight-100-ml
1008,Calvin Klein,Calvin Klein Eternity Women,edp,f,2,,,calvin-klein-eternity-100-ml
1013,Versace,Versace Pour Homme Oud Noir,edp,m,1,,,versace-pour-homme-oud-noir-eau-de-toilette-for-men
1016,Yves Saint Laurent,Yves Saint Laurent Manifesto,edp,f,1,,,yves-saint-laurent-manifesto
1019,Lacoste,Lacoste Eau De Lacoste L.12.12 Blanc,edt,m,1,,,lacoste-eau-de-lacoste-l-12-12-blanc
1020,Hugo Boss,Hugo Boss Femme By Boss,edp,f,3,,,hugo-boss-femme-by-boss
1021,Elie Saab,Elie Saab Le Parfum Intense,edp,f,1,Elie Saab Le Parfum,,elie-saab-le-parfum-intense
1023,Dior,Dior Pure Poison,edp,f,2,,,dior-pure-poison
1029,Davidoff,Davidoff The Game,edt,m,1,,,davidoff-the-game
1030,Chanel,Chanel Bleu De Chanel EDT,edt,m,2,,,chanel-bleu-dechanel-eau-de-toilette-for-men
1032,Chanel,Chanel Allure Homme,edt,m,1,,,chanel-allure-homme
1034,Chanel,Chanel Chance EDP,edp,f,1,,,chanel-chance-eau-de-parfum-for-women
1038,Calvin Klein,Calvin Klein Euphoria Men Intense,edt,m,2,Calvin Klein Euphoria Men,,calvin-klein-euphoria-men-intense
1073,Cartier,Cartier Pasha Noire,edp,m,1,,,cartier-pasha-noire-100-ml
1078,Burberry,Burberry Body,edp,f,2,,,burberry-body-for-women-eau-de-parfum
