best_rank,brand,name,concentration,gender,listings,flanker_of,note,slug
112,Lacoste,Lacoste L.12.12 Blanc EDP,edp,m,1,,,lacoste-l-12-12-blanc-edp
117,Yves Saint Laurent,Yves Saint Laurent Y Intense EDP,edp,m,2,Yves Saint Laurent Y Eau de Parfum,,yves-saint-laurent-y-intense-edp
120,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi Gharoor Musk Oud,edp,u,1,,,ibraheem-al-qurashi-shomoukh-musk-oud-eau-de-parfum-for-men-and-women
125,Gucci,Gucci Guilty Pour Femme Elixir de Parfum,parfum,f,1,Gucci Guilty,,gucci-guilty-pour-femme-elixir-de-parfum
126,Dunhill,Dunhill Icon Absolute,edp,m,2,,,dunhill-icon-absolute-perfume-for-men-eau-de-parfum
128,Davidoff,Davidoff Hot Water,edt,m,1,,,davidoff-hot-water-eau-de-toilette-for-men
130,Reef Perfumes,Reef Perfumes Abaya Arabs EDP,edp,u,1,,,reef-perfumes-abaya-arabs-edp
131,Minis,Minis Memories of Summer Mykonos EDP,edp,f,1,,,minis-memories-of-summer-mykonos-edp
132,Juicy Couture,Juicy Couture Dirty English,edt,m,1,,,juicy-couture-dirty-english-perfume-for-men-eau-de-toilette
134,Tommy Hilfiger,Tommy Hilfiger Tommy Girl,edp,f,1,,,tommy-hilfiger-tommy-girl-perfume
135,Houbigant,Houbigant Quelques Fleurs L'Original,edp,f,1,,,houbigant-quelques-fleurs-l-original-perfume-eau-de-perfum-for-women
137,Givenchy,Givenchy Amarige,edt,f,1,,,givenchy-amarige
138,Versace,Versace Bright Crystal,edt,f,2,,,versace-bright-crystal-eau-de-toilette-for-women
139,Hugo Boss,Hugo Boss Boss Orange Woman,edt,f,2,,,hugo-boss-boss-orange-woman
140,Burberry,Burberry Her London Dream EDP,edp,f,1,Burberry Her,,burberry-her-london-dream-eau-de-parfum-for-women
142,Dkhoun,Dkhoun Thaty,edp,u,1,,,dkhoun-thaty-eau-de-parfum-for-men-women
143,Abercrombie & Fitch,Abercrombie & Fitch Fierce Cologne EDC,,m,2,,,abercrombie-fitch-fierce-cologne-perfume-eau-de-cologne-for-men
145,Fragrance.One,Fragrance.One Office for Men EDP,edp,m,1,,,fragrance-one-office-eau-de-parfum-for-men
146,Bugatti,Bugatti IconiQ Gold EDT,edt,m,1,,,bugatti-iconiq-gold-edt
164,Giorgio Armani,Giorgio Armani Sì Passione EDP Intense,edp,f,1,Giorgio Armani Sì,,giorgio-armani-si-passione-edp-intense
165,The Merchant of Venice,The Merchant of Venice Exclusive Queen Of The Night EDP,edp,f,1,,,the-merchant-of-venice-exclusive-queen-of-the-night-edp
169,Dior,Dior Sauvage Eau Forte Parfum,parfum,m,1,,,dior-sauvage-eau-forte-parfum
170,Rabanne,Rabanne Million Gold Refillable EDP,edp,f,1,,,rabanne-million-gold-refillable-edp
171,Jean Paul Gaultier,Jean Paul Gaultier Gaultier Divine Le Parfum EDP Intense,edp,f,1,,,jean-paul-gaultier-gaultier-divine-le-parfum-edp-intense
172,Jean Paul Gaultier,Jean Paul Gaultier La Belle Paradise Garden EDP,edp,f,1,,,jean-paul-gaultier-la-belle-paradise-garden-edp
173,Jean Paul Gaultier,Jean Paul Gaultier Le Beau Paradise Garden EDP,edp,m,1,,,jean-paul-gaultier-le-beau-paradise-garden-edp
175,Ramón Béjar,Ramón Béjar Deep Amber EDP,edp,u,1,,,ramon-bejar-deep-amber-edp
176,Giorgio Armani,Giorgio Armani Acqua Di Gio Profondo Parfum,parfum,m,1,,,giorgio-armani-acqua-di-gio-profondo-parfum
177,Yves Saint Laurent,Yves Saint Laurent Libre Flowers & Flames EDP,edp,f,1,Yves Saint Laurent Libre,,yves-saint-laurent-libre-flowers-flames-edp
179,Ramón Béjar,Ramon Bejar Black Stone Extrait de Parfum,extrait,u,1,,,ramon-bejar-black-stone-extrait-de-parfum
180,Reef Perfumes,Reef Perfumes Reef 33 White EDP,edp,u,1,,,reef-perfumes-reef-33-white-edp
182,Jean Paul Gaultier,Jean Paul Gaultier Scandal Absolu EDP,edp,m,1,Jean Paul Gaultier Scandal Pour Homme,,jean-paul-gaultier-scandal-absolu-eau-de-parfum-for-men
